appid,name,developer,genres_steam,price,release_year,metacritic_score,total_recommendations,is_free,genre,country
744940,Blue Whale,Lissencephaly,"Violencia, Aventura, Indie",3.99,2017,0,0,False,Aventura,Desconocido
70,Half-Life,Valve,Acción,8.19,1998,96,112643,False,Acción,Estados Unidos
293880,Dark Scavenger,Psydra Games LLC,"Aventura, Casual, Indie, Rol",4.99,2014,0,153,False,Aventura,Desconocido
730820,The Curse of Monkey Island,LucasArts,Aventura,6.89,2018,89,2704,False,Aventura,Estados Unidos
1491510,Recon Control,Dmitry Kozlov,"Indie, Simuladores, Estrategia",0.82,2021,0,0,False,Estrategia,Rusia
940680,The Textorcist: The Story of Ray Bibbia,Morbidware,"Acción, Indie",14.99,2019,78,1122,False,Acción,Desconocido
1321400,Diesel Punch,Vadd Games,"Acción, Aventura, Indie",0.55,2020,0,0,False,Acción,Desconocido
463220,Dungeon of Zolthan,Robert Alvarez,"Acción, Aventura, Indie",0.99,2016,0,385,False,Acción,Desconocido
1084600,My Time at Sandrock,Pathea Games,"Aventura, Casual, Indie, Rol, Simuladores",34.99,2023,80,23456,False,Aventura,Argentina
1166580,Best Plumber,Hograung Studio,"Casual, Indie, Simuladores",29.99,2019,0,110,False,Simulación,Desconocido
291650,Pillars of Eternity,Obsidian Entertainment,Rol,36.99,2015,89,16472,False,Acción,Estados Unidos
357280,Alter World,Giorgi Abelashvili,Indie,4.99,2015,0,117,False,Acción,Georgia
842810,Märchen Forest: Mylne and the Forest Gift [Legacy ver.],PrimaryOrbit,"Aventura, Indie, Rol",8.19,2018,0,371,False,Aventura,Desconocido
1218520,Neko Neko,Neko Game,"Casual, Indie, Estrategia",0.99,2020,0,274,False,Estrategia,Japón
39670,Chaser,Cauldron,Acción,4.99,2010,66,1071,False,Acción,Reino Unido
332310,LEGO® Worlds,TT Games,Aventura,29.99,2017,0,12454,False,Aventura,Reino Unido
1804710,Spartan,Slitherine Ltd.,Estrategia,4.87,2022,0,0,False,Estrategia,Reino Unido
453790,Candice DeBébé's Incredibly Trick Lifestyle,Havishamone Games,"Aventura, Indie, Rol",4.99,2016,0,134,False,Aventura,Desconocido
524030,Machine Learning: Episode I,Volens Nolens Games,"Acción, Aventura, Indie",0.49,2016,0,0,False,Acción,Desconocido
261110,Killer is Dead - Nightmare Edition,KADOKAWA GAMES / GRASSHOPPER MANUFACTURE,Acción,19.99,2014,0,3794,False,Acción,Japón
572520,Dropzone,Sparkypants Studios LLC,"Acción, Free to Play, Estrategia, Acceso anticipado",0.0,2017,0,0,True,Acción,Desconocido
754040,Piggy Poggy Pog,Verterial Flur,"Aventura, Casual, Indie, Simuladores",1.99,2017,0,341,False,Aventura,Desconocido
1124660,STORM AREA 51: AYY LMAO EDITION,Agafonoff,"Acción, Aventura, Casual, Indie, Multijugador masivo, Rol, Simuladores, Estrategia",2.99,2019,0,860,False,Aventura,Rusia
726160,The Under,Iconic Games,Indie,1.99,2017,0,0,False,Acción,Desconocido
7600,Sid Meier's Railroads!,Firaxis Games,Estrategia,9.99,2007,77,2564,False,Estrategia,Estados Unidos
436500,Diaries of a Spaceport Janitor,Sundae Month,"Aventura, Casual, Indie, Rol, Simuladores",9.75,2016,69,610,False,Aventura,Desconocido
345230,The Dark Inside Me,Akçay Karaazmak,"Aventura, Indie",3.29,2018,0,165,False,Aventura,Turquía
508180,Fly and Destroy,EGAMER,"Acción, Aventura, Casual, Indie, Estrategia",4.99,2016,0,150,False,Acción,Desconocido
654630,Dreamblaster,Odamir Khaulepi,"Acción, Indie",0.99,2017,0,0,False,Acción,Desconocido
348820,FIM Speedway Grand Prix 15,SoftPlanet,"Carreras, Simuladores, Deportes",0.0,2015,68,431,False,Deportes,Desconocido
252330,Slender: The Arrival,Blue Isle Studios,"Acción, Aventura, Indie",19.5,2013,65,7799,False,Acción,Reino Unido
546790,Comit the Astrodian,LunarCore Games,"Acción, Indie",0.49,2016,0,0,False,Acción,Desconocido
523180,Doritos VR Battle,Capitola VR,"Acción, Casual, Indie",2.99,2016,0,0,False,Acción,Desconocido
46570,Grotesque Tactics 2 – Dungeons and Donuts,Silent Dreams,"Aventura, Indie, Rol, Estrategia",0.99,2011,0,174,False,Rpg,Desconocido
237430,Expeditions: Conquistador,Logic Artists,"Indie, Rol, Estrategia",19.99,2013,77,1200,False,Estrategia,Desconocido
234920,Dyscourse,Owlchemy Labs,"Aventura, Casual, Indie, Simuladores",14.79,2015,71,185,False,Aventura,Estados Unidos
1058020,"STAR WARS™ Battlefront (Classic, 2004)",Pandemic Studios,Acción,9.75,2019,0,4090,False,Acción,Estados Unidos
281260,Desert Gunner,Digital Fusion,Acción,2.99,2014,0,0,False,Acción,Desconocido
468670,Speed Brawl,Double Stallion,"Acción, Aventura, Indie",16.79,2018,0,0,False,Acción,Desconocido
395500,Rot Gut,Shotgun Surgeons,"Acción, Aventura, Indie",1.99,2016,0,227,False,Acción,Desconocido
929420,Sakura Day 2 Mahjong,Creobit,Casual,14.79,2018,0,0,False,Acción,Desconocido
321710,Battle Of Europe,Maus Software,Acción,9.99,2014,54,0,False,Acción,Desconocido
328760,SanctuaryRPG: Black Edition,Black Shell Media,"Acción, Aventura, Casual, Indie, Rol, Estrategia",6.59,2015,0,1023,False,Aventura,Desconocido
620590,Ancestors Legacy,Destructive Creations,Estrategia,8.74,2018,77,5704,False,Estrategia,Desconocido
371710,Age of Castles: Warlords,Anarchy Enterprises,"Casual, Indie, Simuladores, Estrategia",2.99,2015,0,0,False,Estrategia,Desconocido
575950,Blood Feed,Racing Bros,"Acción, Indie",0.99,2017,0,844,False,Acción,Desconocido
508290,$1 Ride,BeHappy Studios,"Acción, Casual, Indie",0.99,2016,0,231,False,Acción,Desconocido
1398700,Animal Cafe,Dharker Studios,"Casual, Indie",1.74,2021,0,0,False,Acción,Desconocido
330830,Tales from the Borderlands,Telltale Games,Aventura,19.99,2021,0,14942,False,Aventura,Desconocido
220460,Cargo Commander,Serious Brew,"Acción, Aventura, Casual, Indie",4.99,2012,0,659,False,Aventura,Desconocido
467950,Survive in Space,EGAMER,"Acción, Aventura, Casual, Indie, Rol",29.99,2016,0,225,False,Acción,Desconocido
1706820,Milf City,Milk Poison,"Aventura, Casual, Indie",0.55,2021,0,302,False,Aventura,Japón
452930,Insane,VIS-Games,"Casual, Indie, Estrategia",3.99,2016,0,0,False,Estrategia,Desconocido
814380,Sekiro™: Shadows Die Twice - GOTY Edition,"FromSoftware, Inc.","Acción, Aventura",59.99,2019,88,250722,False,Acción,Japón
366910,The Long Journey Home,Daedalic Studio West,"Indie, Rol, Simuladores, Estrategia",9.99,2017,68,1312,False,Estrategia,Alemania
717950,Rainbow Snake,RandomSpin,Casual,0.59,2017,0,174,False,Acción,Desconocido
1381440,80's OVERDRIVE,Insane Code,"Indie, Carreras",9.99,2020,0,425,False,Deportes,Desconocido
301700,Numba Deluxe,Cobra Mobile,Casual,2.39,2014,0,0,False,Acción,Desconocido
220820,Zombie Driver HD,Exor Studios,"Acción, Indie, Carreras",0.79,2012,0,2736,False,Acción,Desconocido
18300,Spectraball,Shorebound Studios,"Casual, Indie",4.99,2008,0,437,False,Acción,Desconocido
527810,Dynamite Alex,Ryan Silberman,"Acción, Indie",0.99,2016,0,0,False,Acción,Desconocido
548050,Runes,Ede Tarsoly,"Casual, Indie",0.5,2016,0,0,False,Acción,Hungría
473520,Autumn,Nuno Donato,"Casual, Indie, Estrategia",0.99,2016,0,138,False,Estrategia,Desconocido
361200,COAST GUARD,Reality Twist GmbH,"Aventura, Simuladores",9.99,2015,47,0,False,Aventura,Alemania
386290,Kumoon : Ballistic Physics Puzzle,Lucky You Studio,"Acción, Casual, Indie, Simuladores",2.99,2015,0,0,False,Acción,Desconocido
