appid,name,developer,genres_steam,price,country,genre,release_year,metacritic_score,total_recommendations,is_free
375770,Quantum Conscience,Woodsy Studio,Aventura,4.99,,,2015,0,0,False
546400,Cavern Escape Extremely Hard game!!!,White Dog Games,"Acción, Aventura, Casual, Indie",4.99,,,2017,0,125,False
885140,七人杀阵 - Seven Sacrifices,章鱼罐头制作组,"Aventura, Casual, Indie",2.06,,,2018,0,925,False
271820,Card City Nights,Ludosity,"Aventura, Casual, Indie",9.75,,,2014,0,655,False
1624890,Mystery Solitaire Grimm's Tales 3,Somer Games,Casual,14.79,,,2021,0,0,False
431810,Rencounter,SPVD,"Indie, Rol, Estrategia",5.89,,,2016,0,233,False
8170,Battlestations Pacific,Eidos Studio Hungary,"Acción, Estrategia",0.0,,,2009,74,2263,False
448520,Deranged Rabbits,Desconocido,"Acción, Aventura, Casual, Indie",0.0,,,2016,0,0,False
1268750,Starship Troopers: Extermination,Offworld,"Acción, Indie",9.56,,,2024,0,29137,False
963000,Frog Detective 1: La isla embrujada,Grace Bruxner,"Aventura, Casual, Indie",4.99,,,2018,73,2946,False
392580,WARSHIFT,Cyril Megem,"Acción, Indie, Rol, Estrategia",4.87,,,2016,0,642,False
2943650,FragPunk,Bad Guitar Studio,"Acción, Free to Play",0.0,,,2025,0,1624,True
786820,SOK MAX,Siberian Mouse,"Casual, Indie",4.99,,,2018,0,0,False
575810,４人打ちアクション麻雀 / ACTION MAHJONG,Mindware,"Acción, Casual, Indie, Acceso anticipado",0.99,,,2017,0,0,False
11450,Overlord™,Triumph Studios,Rol,4.99,,,2007,81,4861,False
554710,Spell Cast,Lance Games,"Acción, Casual, Indie",0.99,,,2022,0,0,False
770410,Path to Mnemosyne,DevilishGames,"Aventura, Indie",9.99,,,2018,0,180,False
545030,NSFW ~ Not a Simulator For Working,GameChanger Studio,"Casual, Indie, Simuladores",2.99,,,2016,0,124,False
541370,Clickdraw Clicker,ColloseusX,"Acción, Casual, Indie",0.99,,,2016,0,0,False
440950,Story Of the Survivor,Kamil Szczepanik,"Acción, Aventura, Indie, Rol, Simuladores",2.99,,,2016,0,0,False
744750,Devil and the Fairy,HandyGames,"Aventura, Indie, Estrategia",9.99,,,2018,0,0,False
670900,NASCAR Heat 2,Monster Games,Carreras,0.0,,,2017,0,383,False
503680,The Seeker,VisualTech48,"Acción, Indie, Acceso anticipado",0.49,,,2016,0,0,False
356910,Battle Fantasia -Revised Edition-,Arc System Works,Acción,14.99,,,2015,0,191,False
552150,Willie's Haunted Hayride,"John Palmer, Jacob Vestergaard",Casual,0.99,,,2016,0,0,False
485570,Milford Heaven - Luken's Chronicles,CGGAMES,"Aventura, Indie, Rol",2.99,,,2016,0,0,False
569800,LEAVES - The Journey,ZAR 21,"Aventura, Indie",4.99,,,2017,0,558,False
491010,IN-VERT: Definitive Edition,TERNOX,"Acción, Aventura, Indie",1.52,,,2018,0,0,False
3595270,Call of Duty®: Modern Warfare® III,Sledgehammer Games,Acción,69.99,,,2023,0,15521,False
332760,Friendship Club,Force Of Habit,"Acción, Indie, Acceso anticipado",9.99,,,2015,0,0,False
3240220,Grand Theft Auto V Enhanced,Rockstar North,"Acción, Aventura, Carreras",29.99,,,2025,0,149363,False
270790,Etherlords II,Nival,"Aventura, Indie, Rol, Estrategia",4.99,,,2014,78,363,False
397570,Shmadow,Extrokold Games,"Acción, Indie",1.99,,,2015,0,152,False
462400,Slide Ride Arcade,ZeroBit Games,"Casual, Indie, Acceso anticipado",4.99,,,2016,0,0,False
349760,Snail Bob 2: Tiny Troubles,Hunter Hamster,"Acción, Aventura, Casual, Indie, Rol, Simuladores",4.99,,,2015,0,263,False
416130,Written in the Sky,Unwonted Studios,"Acción, Aventura, Indie, Simuladores",0.0,,,2015,0,0,False
390220,Toilet Tycoon,Anvil-Soft,"Indie, Simuladores",0.84,,,2015,0,164,False
2605100,Whispered Secrets: Tying the Knot,grandma,"Aventura, Casual",9.75,,,2023,0,0,False
255070,Abyss Odyssey,ACE Team,"Acción, Aventura, Indie",14.99,,,2014,69,1266,False
539690,Nanomedix Inc,ItRuStore Games,"Casual, Indie, Estrategia",0.99,,,2016,0,0,False
586060,JET HERO,ZOV GAME STUDIO,"Acción, Aventura, Indie, Carreras, Estrategia",3.99,,,2017,0,0,False
342890,Synonymy,Christopher Cinq-Mars Jarvis,"Casual, Estrategia",1.99,,,2015,0,0,False
1146950,Hentai Girl Fantasy,GirlGames,"Casual, Indie, Rol, Simuladores",0.69,,,2019,0,3202,False
809900,Calvin Tucker's Farm Animal Racing,Team 6 Studios,"Casual, Indie, Carreras",2.99,,,2018,0,0,False
648810,Vehicle VR,Nick Helweg,"Acción, Indie, Carreras, Estrategia",1.99,,,2017,0,0,False
991170,Barn Finders,Duality Games,"Casual, Indie, Simuladores",16.79,,,2020,0,3882,False
455910,STAR WARS™: Rogue Squadron 3D,Factor 5,"Acción, Simuladores",9.75,,,2016,0,1212,False
608630,PIXEL ZUMBI,Amilton Neves,"Acción, Aventura, Indie",1.59,,,2018,0,0,False
405000,UTOPIA 9 - A Volatile Vacation,Whalegun,"Acción, Indie",0.0,,,2016,0,0,False
247120,Portal 2 Sixense Perceptual Pack,Desconocido,"Acción, Aventura",0.0,,,2013,0,0,False
381870,Koala Kids,Doomster Entertainment,Indie,1.99,,,2015,0,199,False
553450,The Purge Day,Red Limb Studio,"Acción, Indie",2.99,,,2016,0,0,False
1114530,TTV3,Walter Machado,"Acción, Casual, Indie",0.49,,,2019,0,138,False
251570,7 Days to Die,The Fun Pimps,"Acción, Aventura, Indie, Rol, Simuladores, Estrategia",43.99,,,2024,0,270206,False
343280,Zotrix,ZeroBit Games,"Acción, Indie, Rol, Simuladores, Estrategia",12.99,,,2015,0,0,False
33680,eversion,Zaratustra Productions,Indie,3.99,,,2010,0,1084,False
409040,Herolike,Games Hut,"Acción, Indie, Rol",0.95,,,2016,0,0,False
715010,Diamo XL,Adamvision Studios,"Acción, Casual, Indie",0.99,,,2017,0,524,False
2632510,Sex Play - College Girls,EroticGamesClub,"Casual, Indie, Simuladores",0.99,,,2023,0,0,False
527810,Dynamite Alex,Ryan Silberman,"Acción, Indie",0.99,,,2016,0,0,False
1395020,Picross Beach Paradise,Creobit,Casual,14.79,,,2020,0,0,False
709890,Crazy Mob,CoolGameZ,"Acción, Aventura, Casual, Indie",1.99,,,2017,0,0,False
550,Left 4 Dead 2,Valve,Acción,9.75,,,2009,89,782468,False
391160,The Deletion,russpuppy,"Acción, Casual, Indie",1.99,,,2015,0,186,False
331210,"Bolt Riley, A Reggae Adventure",Adventure Mob,"Aventura, Casual, Indie",4.99,,,2018,0,0,False
508900,Zup! X,Quiet River,"Casual, Indie",1.99,,,2018,0,6390,False
458470,Grim Legends 3: The Dark City,Artifex Mundi,"Aventura, Casual",4.43,,,2016,0,541,False
55230,Saints Row: The Third,Volition,Acción,9.99,,,2011,84,48470,False
354650,MISSING: An Interactive Thriller - Episode One,Zandel Media,"Aventura, Indie",0.0,,,2015,63,451,False
24400,King Arthur - The Role-playing Wargame,NeocoreGames,"Rol, Estrategia",9.99,,,2009,0,437,False
107310,Cthulhu Saves the World,Zeboyd Digital Entertainment LLC,"Indie, Rol",2.99,,,2011,78,2988,False
32400,"STAR WARS™ Dark Forces (Classic, 1995)",LucasArts,Acción,5.89,,,2009,0,2371,False
200020,Global Ops: Commando Libya,Spectral Games,Acción,0.49,,,2011,37,255,False
655180,ThinkAhead,Radaev Valentine,"Casual, Indie",1.99,,,2017,0,0,False
490300,Rabbit Island,Serhii Vitukhin,"Indie, Estrategia",1.99,,,2016,0,0,False
567780,Satellite Repairman,Nuno Donato,"Acción, Casual, Indie, Simuladores",1.99,,,2017,0,119,False
468330,HIVE: Altenum Wars,Catness Game Studios,"Acción, Indie",9.75,,,2018,0,0,False
33670,Disciples III - Renaissance Steam Special Edition,Akella,"Rol, Estrategia",9.99,,,2010,56,359,False
455700,Big Buck Hunter Arcade,GameMill Entertainment,"Acción, Simuladores, Deportes, Estrategia",0.0,,,2016,0,0,False
405530,Veer,Some-Fish,Indie,3.99,,,2019,0,0,False
277870,Diehard Dungeon,Tricktale,"Acción, Aventura, Indie, Rol",1.59,,,2014,0,423,False
